Month,Departure station,Arrival station,Average travel time (min),Number of expected circulations,Number of cancelled trains,Number of late trains at departure,Average delay of late departing trains (min),Average delay of all departing trains (min),Number of trains late on arrival,Average delay of late arriving trains (min),Average delay of all arriving trains (min),"% trains late due to external causes (weather, obstacles, suspicious packages, malevolence, social movements, etc.)","% trains late due to railway infrastructure (maintenance, works)","% trains late due to traffic management (rail line traffic, network interactions)",% trains late due to rolling stock,% trains late due to station management and reuse of material,"% trains late due to passenger traffic (affluence, PSH management, connections)",Number of late trains > 15min,Number of late trains > 30min,Number of late trains > 60min,Distance
2,MARSEILLE ST CHARLES,PARIS LYON,197.2,391.0,0,15,14.4,0.7,22.0,30.1,0.9,0.6,0.0,0.0,0.2,0.0,0.2,22.0,6.0,1.0,775.325
2,LYON PART DIEU,LILLE,190.0,249.0,0,112,19.1,9.5,51.0,30.1,7.4,0.3,0.2,0.1,0.1,0.1,0.1,44.0,15.0,3.0,691.558
2,STRASBOURG,PARIS EST,141.8,429.0,5,47,11.9,1.8,40.0,23.3,2.8,0.2,0.4,0.2,0.1,0.1,0.0,28.0,7.0,2.0,492.717
2,LYON PART DIEU,MONTPELLIER,110.3,334.0,1,78,19.3,5.2,69.0,31.9,8.7,0.2,0.2,0.2,0.2,0.1,0.1,45.0,22.0,10.0,304.77
2,LYON PART DIEU,RENNES,261.8,84.0,0,33,16.1,7.6,15.0,79.9,16.3,0.2,0.3,0.1,0.0,0.3,0.0,15.0,11.0,7.0,743.678
2,LILLE,PARIS NORD,68.9,547.0,1,29,12.3,1.1,44.0,17.3,-0.5,0.1,0.3,0.2,0.2,0.1,0.0,16.0,5.0,1.0,218.259
2,STRASBOURG,NANTES,317.3,35.0,0,1,21.0,0.6,4.0,42.5,6.9,0.2,0.0,0.0,0.0,0.5,0.2,4.0,1.0,1.0,865.98
3,LILLE,LYON PART DIEU,193.8,277.0,1,19,17.1,1.7,15.0,30.4,2.8,0.1,0.1,0.3,0.3,0.0,0.3,13.0,4.0,1.0,694.219
3,MARSEILLE ST CHARLES,LYON PART DIEU,100.9,550.0,1,52,18.5,2.1,85.0,29.8,7.3,0.2,0.4,0.2,0.1,0.0,0.0,54.0,20.0,7.0,318.115
3,REIMS,PARIS EST,46.9,213.0,0,2,33.5,0.5,10.0,13.2,-0.7,0.6,0.0,0.3,0.0,0.1,0.0,2.0,1.0,0.0,145.114
3,LYON PART DIEU,LILLE,190.2,275.0,1,114,18.3,9.0,50.0,33.5,7.1,0.2,0.4,0.2,0.1,0.0,0.0,40.0,16.0,6.0,691.558
3,MONTPELLIER,LYON PART DIEU,109.6,332.0,0,20,27.3,1.8,70.0,25.7,7.6,0.3,0.4,0.2,0.1,0.0,0.0,45.0,16.0,5.0,305.714
3,STRASBOURG,PARIS EST,142.5,476.0,2,49,18.4,2.4,37.0,28.3,2.4,0.4,0.1,0.4,0.1,0.1,0.0,25.0,10.0,3.0,492.717
3,LILLE,PARIS NORD,67.7,602.0,1,19,14.0,0.8,38.0,18.0,-1.4,0.1,0.3,0.2,0.1,0.2,0.1,18.0,5.0,0.0,218.259
3,LYON PART DIEU,MONTPELLIER,110.6,352.0,0,70,14.9,3.9,91.0,26.8,9.1,0.3,0.2,0.2,0.2,0.1,0.1,60.0,28.0,4.0,304.77
3,LYON PART DIEU,MARSEILLE ST CHARLES,101.8,597.0,1,99,19.6,4.1,94.0,29.4,5.7,0.3,0.1,0.2,0.2,0.0,0.1,74.0,28.0,9.0,316.727
3,LYON PART DIEU,RENNES,261.3,89.0,0,28,16.5,6.5,4.0,46.5,3.6,0.5,0.2,0.2,0.0,0.0,0.0,4.0,2.0,1.0,743.678
3,STRASBOURG,NANTES,322.0,41.0,0,0,0.0,0.2,3.0,31.0,3.7,0.3,0.0,0.0,0.7,0.0,0.0,3.0,1.0,0.0,865.98
3,MARSEILLE ST CHARLES,PARIS LYON,199.4,398.0,1,16,17.3,0.9,12.0,58.4,0.1,0.5,0.2,0.0,0.2,0.1,0.1,12.0,7.0,4.0,775.325
