Year,Month,Departure station,Arrival station,Average travel time (min),Number of expected circulations,Number of cancelled trains,Number of late trains at departure,Average delay of late departing trains (min),Average delay of all departing trains (min),Number of trains late on arrival,Average delay of late arriving trains (min),Average delay of all arriving trains (min),"% trains late due to external causes (weather, obstacles, suspicious packages, malevolence, social movements, etc.)","% trains late due to railway infrastructure (maintenance, works)","% trains late due to traffic management (rail line traffic, network interactions)",% trains late due to rolling stock,% trains late due to station management and reuse of material,"% trains late due to passenger traffic (affluence, PSH management, connections)",Number of late trains > 15min,Number of late trains > 30min,Number of late trains > 60min
2015,1,PARIS MONTPARNASSE,LA ROCHELLE VILLE,190.114285714,210,0,4,32.25,0.719047619048,12,44.1666666667,3.45714285714,0.375,0.25,0.25,0,0.125,0,12,7,3
2015,1,PARIS MONTPARNASSE,LE MANS,56.7090464547999,409,0,13,17,0.728606356967999,46,12.0217391304,2.27628361858,0.15,0.15,0.15,0.15,0.225,0.175,6,2,1
2015,1,TOURS,PARIS MONTPARNASSE,76.6243386243,189,0,4,10.5,0.417989417989,25,17.2,2.66666666667,0.157894736842,0.421052631579,0.105263157895,0.157894736842,0.105263157895,0.0526315789474,5,3,3
2015,1,LAUSANNE,PARIS LYON,180.524271845,103,0,9,9.77777777778,1.36893203883,8,28.625,1.5145631068,0.00970873786408,0.00970873786408,0.0388349514563,0.00970873786408,0,0.00970873786408,6,3,1
2015,1,PARIS EST,STRASBOURG,141.681818182,418,0,16,21.125,0.952153110048,30,26.4333333333,2.49043062201,0.230769230769,0.423076923077,0.0384615384615,0.115384615385,0.0769230769231,0.115384615385,16,7,4
2015,1,PARIS MONTPARNASSE,RENNES,132.775590551,508,0,18,16.4444444444,0.748031496063,34,30.7058823528999,2.44881889764,0.393939393939,0.151515151515,0.0606060606061,0.212121212121,0.0909090909091,0.0909090909091,22,10,4
2015,1,STRASBOURG,PARIS EST,142.087438424,406,0,32,14.34375,1.57635467979999,36,31.1111111111,3.30788177339999,0.2,0.333333333333,0.3,0.1,0.0666666666666999,0,21,11,5
2015,1,PARIS LYON,MULHOUSE VILLE,166.732283465,254,0,20,22.05,1.94488188975999,22,33.0909090909,3.54330708661,0.181818181818,0.227272727273,0.363636363636,0.0454545454545,0.181818181818,0,16,6,2
2015,1,DOUAI,PARIS NORD,81.6368421052999,190,0,10,18.2,1.22631578947,32,12.75,1.21578947368,0.1,0.366666666667,0.3,0.166666666667,0.0666666666666999,0,4,2,1
2015,1,PARIS MONTPARNASSE,QUIMPER,273.223602484,161,0,3,13,0.484472049689,5,21.8,1.01242236025,0.6,0,0.2,0.2,0,0,5,0,0
